partie numero;temps;penalite
1;265;0
2;328;0
3;249;0
4;921;0
5;220;0
6;499;0
7;234;0
8;220;0
9;250;0
10;281;0
11;265;0
12;234;0
13;281;0
14;234;0
15;265;0
16;281;0
17;234;0
18;249;0
19;281;0
20;249;0
21;265;0
22;249;0
23;374;0
24;234;0
25;265;0
26;265;0
27;218;0
28;250;0
29;265;0
30;250;0
31;343;0
32;281;0
33;281;0
34;249;0
35;265;0
36;250;0
37;515;0
38;249;0
39;236;0
40;250;0
41;250;0
42;249;0
43;328;0
44;250;0
45;234;0
46;250;0
47;234;0
48;281;0
49;234;0
50;249;0
51;238;0
52;281;0
53;500;0
54;265;0
55;249;0
56;265;0
57;359;0
58;249;0
59;265;0
60;426;0
61;296;0
62;281;0
63;234;0
64;250;0
65;250;0
66;234;0
67;234;0
68;281;0
69;296;0
70;296;0
71;281;0
72;249;0
73;250;0
74;484;0
75;281;0
76;250;0
77;249;0
78;265;0
79;328;0
80;325;0
81;296;0
82;234;0
83;296;0
84;249;0
85;375;0
86;281;0
87;484;0
88;265;0
89;265;0
90;437;0
91;281;0
92;343;0
93;249;0
94;296;0
95;249;0
96;234;0
97;390;0
98;249;0
99;218;0
100;218;0
101;359;0
102;296;0
103;296;0
104;265;0
105;296;0
106;265;0
107;296;0
108;218;0
109;265;0
110;265;0
111;281;0
112;312;0
113;343;0
114;281;0
115;249;0
116;343;0
117;281;0
118;281;0
119;281;0
120;281;0
121;343;0
122;453;0
123;375;0
124;218;0
125;250;0
126;250;0
127;234;0
128;249;0
129;298;0
130;296;0
131;312;0
132;406;0
133;406;0
134;281;0
135;265;0
136;265;0
137;281;0
138;312;0
139;218;0
140;312;0
141;298;0
142;249;0
143;296;0
144;281;0
145;453;0
146;312;0
147;250;0
148;234;0
149;250;0
150;203;0
151;265;0
152;234;0
153;265;0
154;359;0
155;320;0
156;281;0
157;281;0
158;265;0
159;218;0
160;265;0
161;328;0
162;296;0
163;312;0
164;312;0
165;218;0
166;281;0
167;500;0
168;312;0
169;281;0
170;281;0
171;296;0
172;296;0
173;453;0
174;296;0
175;281;0
176;265;0
177;281;0
178;281;0
179;265;0
180;296;0
181;265;0
182;281;0
183;328;0
184;312;0
185;249;0
186;249;0
187;250;0
188;312;0
189;343;0
190;312;0
191;312;0
192;484;0
193;328;0
194;328;0
195;249;0
196;234;0
197;265;0
198;265;0
199;250;0
200;249;0
201;265;0
202;281;0
203;265;0
204;281;0
205;265;0
206;343;0
207;312;0
208;281;0
209;250;0
210;359;0
211;296;0
212;296;0
213;343;0
214;374;0
215;296;0
216;359;0
217;390;0
218;249;0
219;328;0
220;296;0
221;359;0
222;374;0
223;296;0
224;374;0
225;296;0
226;312;0
227;312;0
228;343;0
229;296;0
230;312;0
231;296;0
232;234;0
233;328;0
234;265;0
235;312;0
236;359;0
237;390;0
238;343;0
239;328;0
240;312;0
241;265;0
242;343;0
243;562;0
244;343;0
245;281;0
246;234;0
247;343;0
248;296;0
249;406;0
250;312;0
251;296;0
252;499;0
253;296;0
254;265;0
255;265;0
256;281;0
257;296;0
258;265;0
259;265;0
260;390;0
261;328;0
262;328;0
263;328;0
264;296;0
265;390;0
266;296;0
267;281;0
268;234;0
269;296;0
270;265;0
271;359;0
272;281;0
273;296;0
274;390;0
275;265;0
276;234;0
277;312;0
278;374;0
279;312;0
280;312;0
281;265;0
282;281;0
283;312;0
284;296;0
285;312;0
286;296;0
287;432;0
288;265;0
289;289;0
290;249;0
291;281;0
292;312;0
293;249;0
294;249;0
295;249;0
296;265;0
297;312;0
298;203;0
299;437;0
300;312;0
